comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,50,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,1,pack,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,1,pack,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,1,boss,60,500,1.000,0.000,0.000,0.995,0.9,0.00,0.005,1.000,1.797
trio-core,50,1,boss,180,500,1.000,0.000,0.000,0.995,0.9,0.00,0.005,1.000,1.797
trio-core,50,2,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,2,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,2,pack,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,2,pack,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,2,boss,60,500,1.000,0.000,0.000,0.994,1.0,0.00,0.006,1.000,1.796
trio-core,50,2,boss,180,500,1.000,0.000,0.000,0.994,1.0,0.00,0.006,1.000,1.796
trio-core,50,3,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,3,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,3,pack,60,500,1.000,0.000,0.000,0.994,0.5,0.00,0.006,1.000,1.796
trio-core,50,3,pack,180,500,1.000,0.000,0.000,0.994,0.5,0.00,0.006,1.000,1.796
trio-core,50,3,boss,60,500,1.000,0.000,0.000,0.982,1.9,0.00,0.018,0.553,1.789
trio-core,50,3,boss,180,500,1.000,0.000,0.000,0.983,1.9,0.00,0.017,0.561,1.790
trio-core,50,4,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,4,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,4,pack,60,500,1.000,0.000,0.000,0.976,1.4,0.00,0.024,0.952,1.785
trio-core,50,4,pack,180,500,1.000,0.000,0.000,0.976,1.4,0.00,0.024,0.947,1.786
trio-core,50,4,boss,60,500,1.000,0.000,0.000,0.960,2.8,0.00,0.040,0.585,1.776
trio-core,50,4,boss,180,500,1.000,0.000,0.000,0.962,2.8,0.00,0.038,0.589,1.777
trio-core,50,5,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,5,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
